partyCode,partyName,name,familyName,givenName,sitting,electorateCode,electorateState,electorateName,electorateChamber
LIB,Liberal,Tony Abbott,Abbott,Tony,1,warr,NSW,Warringah,house
TAP,The Arts Party,Anthony Ackroyd,Ackroyd,Anthony,0,went,NSW,Wentworth,house
LIB,Liberal Party,Jessica Adelan-Langford,Adelan-Langford,Jessica,0,canb,ACT,Canberra,house
ONP,Pauline Hanson's One Nation,Troy Aggett,Aggett,Troy,0,blai,QLD,Blair,house
GRN,Greens,Pietro Agnoletto,Agnoletto,Pietro,0,wrig,QLD,Wright,house
21CP,21st Century Party,Fernando Alba,Alba,Fernando,0,bowm,QLD,Bowman,house
ALP,Labor,Anthony Albanese,Albanese,Anthony,1,gray,NSW,Grayndler,house
SAL,Socialist Alliance,Zane Alcorn,Alcorn,Zane,0,will,VIC,Wills,house
IND,Independent,Mark Aldridge,Aldridge,Mark,0,maki,SA,Makin,house
LIB,Liberal,John Alexander,Alexander,John,1,benn,NSW,Bennelong,house
GRN,Greens,Justin Alick,Alick,Justin,0,benn,NSW,Bennelong,house
LIB,Liberal Party,Marcus Allan,Allan,Marcus,0,deni,TAS,Denison,house
CDP,Christian Democratic Party,Darryl Allen,Allen,Darryl,0,mitc,NSW,Mitchell,house
ALP,Australian Labor Party,Peter Alley,Alley,Peter,0,lyne,NSW,Lyne,house
ALP,Australian Labor Party,Michael Allison,Allison,Michael,0,ssa,SA,South Australia,senate
ALP,Labor Party,Anne Aly,Aly,Anne,0,cowa,WA,Cowan,house
ALA,Australian Liberty Alliance,Gary Anderson,Anderson,Gary,0,snsw,NSW,New South Wales,senate
NAT,The Nationals,James Anderson,Anderson,James,0,mcew,VIC,McEwen,house
GRN,Greens,Karen Anderson,Anderson,Karen,0,grif,QLD,Griffith,house
ALP,Labor Party,Scott Anderson,Anderson,Scott,0,fair,QLD,Fairfax,house
TAP,Arts Party,Maureen Andrew,Andrew,Maureen,0,svic,VIC,Victoria,senate
ALP,Australian Labor Party,Josh Andrews,Andrews,Josh,0,bero,NSW,Berowra,house
LNP,Liberal National Party of Queensland,Karen Andrews,Andrews,Karen,1,mcph,QLD,McPherson,house
LIB,Liberal,Kevin Andrews,Andrews,Kevin,1,menz,VIC,Menzies,house
AUC,Australian Christians,Eleni Arapoglou,Arapoglou,Eleni,0,svic,VIC,Victoria,senate
CDP,Christian Democratic Party,Shawn Arbeau,Arbeau,Shawn,0,ksmi,NSW,Kingsford Smith,house
